Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,l_ac,dl_ac
624.75,625.4,619.98,619.98,2437100.0,0.0,1.0,313.34225753122706,313.66826388159967,310.9498724677233,310.9498724677233,2437100.0,5.739631717412246,0.0024223644420988677
592.0,603.25,589.11,602.02,9439100.0,0.0,1.0,296.91655295476016,302.5589705573633,295.46707856618036,301.942066232812,9439100.0,5.710235165306253,-0.029396552105993123
591.59,593.56,578.04,580.0,10858100.0,0.0,1.0,296.71091817990975,297.6989681956544,289.91493964521885,290.89797417865014,10858100.0,5.672972601498393,-0.03726256380786008
564.5,570.6,534.86,550.01,13587100.0,0.0,1.0,283.1239765928414,286.1834208040307,268.2580870158497,275.85654272068854,13587100.0,5.6198809578373385,-0.053091643661054455
538.49,540.99,525.61,529.944,8272700.0,0.0,1.0,270.078707095623,271.33257767397924,263.61876587593156,265.7924759105699,8272700.0,5.582715838544286,-0.03716511929305266
528.4,533.4985,522.46,531.29,6305600.0,0.0,1.0,265.01808544137714,267.5752290988769,262.0388889472027,266.46755982995694,6305600.0,5.585252509479742,0.0025366709354557315
532.97,537.15,530.5,533.12,4554800.0,0.0,1.0,267.3101608586124,269.406632465624,266.0713367271964,267.3853930933137,4554800.0,5.588691037496351,0.0034385280166091547
541.0,544.03,539.7,540.763,5101000.0,0.0,1.0,271.33759315629266,272.8572842972604,270.68558045554744,271.2187262254645,5101000.0,5.602925603186359,0.014234565690007805
527.42,531.75,523.48,526.8,4094500.0,0.0,1.0,264.52656817466146,266.6982720163745,262.55046814317205,264.2156082712291,4094500.0,5.5767654678270535,-0.02616013535930506
561.35,567.67,559.9,564.21,7816500.0,0.0,1.0,281.54409966411254,284.7138844861971,280.8168547286659,282.9785276057521,7816500.0,5.645371020580025,0.0686055527529712
588.14,588.275,579.16,579.54,5501200.0,0.0,1.0,294.9805767817781,295.0482857930093,290.47667366432245,290.66726199223257,5501200.0,5.672179183377187,0.02680816279716236
566.23,568.0,557.28,560.0,9578800.0,0.0,1.0,283.9916550330639,284.8793954025401,279.50279836254856,280.86700955180015,9578800.0,5.637881281687123,-0.034297901690064414
565.27,567.39,560.0201,562.69,5387000.0,0.0,1.0,283.5101687309751,284.5734509814212,280.87709067125013,282.2161742941115,5387000.0,5.642673352780211,0.004792071093087991
571.35,573.45,565.55,568.8,4201100.0,0.0,1.0,286.55958197753756,287.6128332633568,283.650602235751,285.2806339876141,4201100.0,5.653473376446959,0.01080002366674826
568.0,568.77,564.0,566.22,4109000.0,0.0,1.0,284.8793954025401,285.2655875406739,282.87320247717014,283.9866395507505,4109000.0,5.648927193219224,-0.004546183227734701
563.0,568.81,549.63,550.145,24446500.0,0.0,1.0,282.37165424582764,285.28564946992753,275.6659543927784,275.9242517319198,24446500.0,5.620126377802121,-0.02880081541710311
547.25,549.32,542.27,544.99,4174600.0,0.0,1.0,274.47226960218325,275.5104744410623,271.9745594100976,273.33877059934923,4174600.0,5.6107119438289805,-0.009414433973140568
531.13,537.68,525.44,525.695,4865900.0,0.0,1.0,266.38731211294214,269.6724530282355,263.53350267660335,263.6613974755957,4865900.0,5.574665694610079,-0.036046249218901316
499.97,505.32,481.33,493.14,10167800.0,0.0,1.0,250.75906922430988,253.44235226199223,241.41021019208566,247.33349480424056,10167800.0,5.510737607346392,-0.0639280872636876
509.77,510.99,496.25,507.53,8223700.0,0.0,1.0,255.67424189146635,256.2861307337042,248.89330980371577,254.55077385325913,8223700.0,5.539500320427241,0.02876271308084899
469.06,485.0,464.4,472.05,19362200.0,0.0,1.0,235.25621339351318,243.25089220111263,232.91899863545711,236.75584260522726,19362200.0,5.467029410136454,-0.07247091029078678
492.74,493.45,483.0,485.63,5783800.0,0.0,1.0,247.1328755117036,247.48897475595675,242.2477957384276,243.5668675868584,5783800.0,5.495391515037133,0.02836210490067881
499.72,509.25,496.7,498.72,7832700.0,0.0,1.0,250.63368216647424,255.41343681116825,249.11900650781988,250.13213393513175,7832700.0,5.521989313976955,0.026597798939822503
482.5,488.71,481.62,488.5,3559800.0,0.0,1.0,241.99702162275636,245.11163613939328,241.55565917917497,245.00631101081137,3559800.0,5.501283969440765,-0.020705344536190218
502.51,503.47,498.13,500.03,5740000.0,0.0,1.0,252.0330017319198,252.51448803400862,249.83622047863966,250.7891621181904,5740000.0,5.524612594580192,0.023328625139426684
477.06,477.646,470.56,472.68,4485900.0,0.0,1.0,239.26859924425318,239.56250650781988,236.00853574052692,237.07181799097302,4485900.0,5.468363124728743,-0.05624946985144863
441.62,442.2842,436.0,436.55,3868100.0,0.0,1.0,221.49372992547498,221.82685826073265,218.67502886533012,218.9508803925685,3868100.0,5.3888474142147444,-0.07951571051399853
471.96,473.26,462.78,467.49,8654300.0,0.0,1.0,236.71070326440642,237.36271596515166,232.10649050068227,234.46878267030544,8654300.0,5.457322456083561,0.06847504186881626
469.12,470.56,459.52,459.605,15633900.0,0.0,1.0,235.28630628739373,236.00853574052692,230.4714432665057,230.51407486616984,15633900.0,5.440311922898592,-0.017010533184969034
480.77,490.59,480.01,490.06,4524200.0,0.0,1.0,241.12934318253383,246.05454681431718,240.74816652671353,245.78872625170567,4524200.0,5.504472330545927,0.06416040764733566
479.65,487.36,479.14,484.85,4283900.0,0.0,1.0,240.56760916343023,244.43454602708093,240.31181956544557,243.17565996641127,4283900.0,5.4937840627084835,-0.01068826783744381
