model,dims,sampler,integrator,convergence,L,step_size,ESS
StandardNormal,10,mhmchmc,mclachlan,True,4.562730048059844,4.147936382972959,0.3417634963989258
StandardNormal,10,mhmchmc,omelyan,True,5.038666320939424,4.580605719414022,0.18001800775527954
StandardNormal,47,mhmchmc,mclachlan,True,10.924616696482731,9.931467365630123,0.29708847403526306
StandardNormal,47,mhmchmc,omelyan,True,13.231543906686447,12.028676311360307,0.1367053985595703
StandardNormal,216,mhmchmc,mclachlan,True,20.389265061193278,18.53569556034077,0.24050022661685944
StandardNormal,216,mhmchmc,omelyan,True,21.87989850581836,19.890816194826186,0.13368983566761017
StandardNormal,1000,mhmchmc,mclachlan,True,40.775421142578125,37.06856155395508,0.1803751289844513
StandardNormal,1000,mhmchmc,omelyan,True,48.00985702489273,43.645324686206145,0.15540015697479248
