model,sampler,integrator,tuning,acc rate,L,stepsize,num_chains,num steps,contraction,ESS
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8947126865386963,27.674867630004883,5.534973621368408,128,10000,<function average at 0x11f76beb0>,0.036101084202528
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8893769383430481,27.924867630004883,5.584973335266113,128,10000,<function average at 0x11f76beb0>,0.038167938590049744
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8848355412483215,28.174867630004883,5.634974479675293,128,10000,<function average at 0x11f76beb0>,0.03787878900766373
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8805635571479797,28.424867630004883,5.684974193572998,128,10000,<function average at 0x11f76beb0>,0.03703703731298447
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8752866983413696,28.674867630004883,5.734973907470703,128,10000,<function average at 0x11f76beb0>,0.03773584961891174
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.871914267539978,28.924867630004883,5.784973621368408,128,10000,<function average at 0x11f76beb0>,0.03344481438398361
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8664999604225159,29.174867630004883,5.834973335266113,128,10000,<function average at 0x11f76beb0>,0.03875968977808952
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.859998345375061,29.424867630004883,5.884974479675293,128,10000,<function average at 0x11f76beb0>,0.036101084202528
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8534640073776245,29.674867630004883,5.934974193572998,128,10000,<function average at 0x11f76beb0>,0.03952569141983986
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8443922996520996,29.924867630004883,5.984973907470703,128,10000,<function average at 0x11f76beb0>,0.033222589641809464
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8323926329612732,30.174867630004883,6.034973621368408,128,10000,<function average at 0x11f76beb0>,0.030487805604934692
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.8150370717048645,30.424867630004883,6.084973335266113,128,10000,<function average at 0x11f76beb0>,0.032573290169239044
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.7951345443725586,30.674867630004883,6.134974479675293,128,10000,<function average at 0x11f76beb0>,0.0330033004283905
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.773774266242981,30.924867630004883,6.184974193572998,128,10000,<function average at 0x11f76beb0>,0.029154518619179726
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.7496916055679321,31.174867630004883,6.234973907470703,128,10000,<function average at 0x11f76beb0>,0.02450980432331562
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.723238468170166,31.424867630004883,6.284973621368408,128,10000,<function average at 0x11f76beb0>,0.02793296054005623
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.6971884965896606,31.674867630004883,6.334973335266113,128,10000,<function average at 0x11f76beb0>,0.024449877440929413
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.6694773435592651,31.924867630004883,6.384974479675293,128,10000,<function average at 0x11f76beb0>,0.0223214291036129
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.6458412408828735,32.174869537353516,6.434974193572998,128,10000,<function average at 0x11f76beb0>,0.021276595070958138
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.619055449962616,32.424869537353516,6.484973907470703,128,10000,<function average at 0x11f76beb0>,0.01904761977493763
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.5998468399047852,32.674869537353516,6.534973621368408,128,10000,<function average at 0x11f76beb0>,0.02123142220079899
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.5732494592666626,32.924869537353516,6.584973335266113,128,10000,<function average at 0x11f76beb0>,0.020325202494859695
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.5528653860092163,33.174869537353516,6.634974479675293,128,10000,<function average at 0x11f76beb0>,0.017331022769212723
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.5410528182983398,33.424869537353516,6.684974193572998,128,10000,<function average at 0x11f76beb0>,0.01901140622794628
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.5256344079971313,33.674869537353516,6.734973907470703,128,10000,<function average at 0x11f76beb0>,0.01904761977493763
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.5104695558547974,33.924869537353516,6.784973621368408,128,10000,<function average at 0x11f76beb0>,0.01692047342658043
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.5037760138511658,34.174869537353516,6.834973335266113,128,10000,<function average at 0x11f76beb0>,0.019920319318771362
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.4938708543777466,34.424869537353516,6.884974479675293,128,10000,<function average at 0x11f76beb0>,0.01686340570449829
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.4884973168373108,34.674869537353516,6.934974193572998,128,10000,<function average at 0x11f76beb0>,0.020533880218863487
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.47759613394737244,34.924869537353516,6.984973907470703,128,10000,<function average at 0x11f76beb0>,0.019960079342126846
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.4736424386501312,35.174869537353516,7.034973621368408,128,10000,<function average at 0x11f76beb0>,0.018975332379341125
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.47554582357406616,35.424869537353516,7.084973335266113,128,10000,<function average at 0x11f76beb0>,0.02016128972172737
"('StandardNormal', 10)",mhmclmc,mclachlan,standard,0.4698815941810608,35.674869537353516,7.134974479675293,128,10000,<function average at 0x11f76beb0>,0.017513135448098183
