model,dims,sampler,L,step_size,integrator,tuning,acc_rate,ESS
Brownian,32,mclmc,2.5947041511535645,0.33929651975631714,mclachlan,standard,1.0,0.005389092490077019
Brownian,32,mhmchmc0.65,0.8296622037887573,0.629228949546814,mclachlan,standard,0.5063665509223938,0.0
Brownian,32,mhmchmc:st30.65,1.6593244075775146,0.5376222133636475,mclachlan,standard,0.6202044486999512,0.0025030954275280237
Brownian,32,mhmchmc0.9,0.8057151436805725,0.4270077645778656,mclachlan,standard,0.8420538902282715,0.017892424017190933
Brownian,32,mhmchmc:st30.9,1.611430287361145,0.3718661665916443,mclachlan,standard,0.8648163080215454,0.005584892816841602
Brownian,32,mhmchmc:grid,1.3053165783698921,0.43490612642274895,mclachlan,gridsearch:True,0.8027600646018982,0.005758392158895731
Brownian,32,nuts,0.0,0.0,mclachlan,standard,0.9743544459342957,0.00047466697287745774
Brownian,32,mclmc,2.370213508605957,0.13551171123981476,leapfrog,standard,1.0,0.006009254138916731
Brownian,32,mhmchmc0.65,0.815468430519104,0.3722124993801117,leapfrog,standard,0.5668644309043884,0.007116309832781553
Brownian,32,mhmchmc:st30.65,1.630936861038208,0.44311362504959106,leapfrog,standard,0.3589543402194977,0.00037360965507104993
Brownian,32,mhmchmc0.9,0.8039802312850952,0.1931193619966507,leapfrog,standard,0.8797243237495422,0.009013287723064423
Brownian,32,mhmchmc:st30.9,1.1997456550598145,0.16176199913024902,leapfrog,standard,0.9041644334793091,0.003992604091763496
Brownian,32,mhmchmc:grid,1.1331351304320498,0.32375362639508987,leapfrog,gridsearch:True,0.623728334903717,0.0004562678514048457
Brownian,32,nuts,0.0,0.0,leapfrog,standard,0.7984389662742615,0.0034575953613966703
